kana,kanji,rank
きずつく,傷付,6000
きずつける,傷付,6000
きせつ,季節,2000
きせる,着,2000
きせん,汽船,6000
きそ,基礎,2000
きそく,規則,2000
きぞく,貴族,6000
きた,北,2000
きたい,気体,6000
きたく,帰宅,6000
きたない,汚,2000
きち,基地,6000
きちがい,気違,6000
きちょう,貴重,6000
きちょうひん,貴重品,6000
きちん,,2000
きっ,,2000
きっさ,喫茶,6000
きっさてん,喫茶店,6000
きって,切手,2000
きっぱり,,6000
きっぷ,切符,2000
きつい,,6000
きつね,,6000
きづく,気付,6000
きにいる,気入,6000
きにゅう,記入,6000
きぬ,絹,6000
きねん,記念,2000
きねんび,記念日,6000
きのう,昨日,2000
きのこ,,6000
きのどく,気毒,2000
きびしい,厳,2000
きふ,寄付,6000
きぶん,気分,2000
きほん,基本,6000
きぼ,規模,6000
きぼう,希望,2000
きまぐれ,,6000
きまり,,6000
きまりわるい,,6000
きまる,決,2000
きみ,君,2000
きみがわるい,気味悪,6000
きみょう,奇妙,6000
きめる,決,2000
きもち,気持,2000
きもの,着物,2000
きゃく,客,2000
きゃくしょく,脚色,6000
きゃくほん,脚本,6000
きゃくま,客間,6000
きゃっかん,客観,6000
きゃっかんてき,客観的,6000
きゅう,九,2000
きゅうか,休暇,6000
きゅうがく,休学,6000
きゅうぎょう,休業,6000
きゅうくつ,窮屈,6000
きゅうけい,休憩,6000
きゅうげき,急激,6000
きゅうこう,急行,2000
きゅうしゅう,九州,6000
きゅうじつ,休日,6000
きゅうそく,休息,6000
きゅうびょう,急病,6000
きゅうよう,急用,6000
きゅうり,,6000
きゅうりょう,給料,2000
きょう,今日,2000
きょういく,教育,2000
きょういん,教員,6000
きょうか,強化,6000
きょうかい,教会,2000
きょうかしょ,教科書,2000
きょうきゅう,供給,6000
きょうぎ,競技,6000
きょうくん,教訓,6000
きょうぐう,境遇,6000
きょうさん,共産,6000
きょうし,教師,2000
きょうしつ,教室,2000
きょうしゅく,恐縮,6000
きょうじゅ,教授,6000
きょうせい,強制,6000
きょうそう,競争,2000
きょうぞん,共存,6000
きょうだい,兄弟,2000
きょうちょう,強調,6000
きょうつう,共通,6000
きょうつうご,共通語,6000
きょうどう,共同,6000
きょうはく,脅迫,6000
きょうふ,恐怖,6000
きょうみ,興味,2000
きょうよう,教養,2000
きょうり,郷里,6000
きょうりょく,協力,2000
きょうれつ,強烈,6000
きょうわ,共和,6000
きょか,許可,2000
きょく,曲,6000
きょくせん,曲線,6000
きょだい,巨大,6000
きょねん,去年,2000
きょひ,拒否,6000
きょり,距離,2000
きよい,清,6000
きよう,器用,6000
きよらか,清,6000
きらい,嫌,2000
きらう,嫌,2000
きらきら,,6000
きらく,気楽,6000
きり,霧,2000
きる,切,2000
きれ,布,2000
きれい,綺麗,2000
きれる,切,2000
きろく,記録,2000
きわめて,極,6000
きをつける,気付,6000
きん,金,2000
きんいろ,金色,6000
きんえん,禁煙,6000
きんがく,金額,6000
きんがん,近眼,6000
きんき,近畿,6000
きんきゅう,緊急,6000
きんぎょ,金魚,6000
きんこ,金庫,6000
きんし,禁止,2000
きんじょ,近所,2000
きんじる,禁,6000
きんせん,金銭,6000
きんぞく,金属,2000
きんだい,近代,6000
きんちょう,緊張,6000
きんにく,筋肉,2000
きんべん,勤勉,6000
きんむ,勤務,6000
きんもつ,禁物,6000
きんよう,金曜・金,2000
ぎいん,議員,6000
ぎかい,議会,6000
ぎきょく,戯曲,6000
ぎし,技師,6000
ぎじゅつ,技術,2000
ぎせい,犠牲,6000
ぎだい,議題,6000
ぎちょう,議長,6000
ぎっしり,,6000
ぎむ,義務,2000
ぎもん,疑問,2000
ぎゃく,逆,2000
ぎゅうぎゅう,,6000
ぎゅうにく,牛肉,2000
ぎゅうにゅう,牛乳,2000
ぎょうぎ,行儀,6000
ぎょうしゃ,業者,6000
ぎょうじ,行事,6000
ぎょうせい,行政,6000
ぎょうせき,業績,6000
ぎょうれつ,行列,6000
ぎょぎょう,漁業,6000
ぎょせん,漁船,6000
ぎょそん,漁村,6000
ぎょっと,,6000
ぎり,義理,6000
ぎろん,議論,6000
ぎん,銀,2000
ぎんこう,銀行,2000
く,九,2000
くう,食,6000
くうかん,空間,6000
くうき,空気,2000
くうぐん,空軍,6000
くうこう,空港,6000
くうそう,空想,6000
くうちゅう,空中,6000
くうふく,空腹,6000
くき,茎,2000
くぎ,釘,6000
くぎる,区切,6000
くさ,草,2000
