level,expression,reading
N1,名簿,めいぼ
N1,名誉,めいよ
N1,名高い,なだかい
N1,向上,こうじょう
N1,君主,くんしゅ
N1,吟味,ぎんみ
N1,否決,ひけつ
N1,吹奏,すいそう
N1,呆気ない,あっけない
N1,呆然,ぼうぜん
N1,告げる,つげる
N1,告白,こくはく
N1,呟く,つぶやく
N1,周期,しゅうき
N1,味わい,あじわい
N1,味覚,みかく
N1,呼び止める,よびとめる
N1,命中,めいちゅう
N1,和やか,なごやか
N1,和らげる,やわらげる
N1,和文,わぶん
N1,品種,ひんしゅ
N1,品質,ひんしつ
N1,唱える,となえる
N1,唾,つば
N1,問い合わせる,といあわせる
N1,問屋,とんや
N1,善し悪し,よしあし
N1,善良,ぜんりょう
N1,喜劇,きげき
N1,営む,いとなむ
N1,嗜好,しこう
N1,嘆く,なげく
N1,嘗める,なめる
N1,嘘つき,うそつき
N1,嘲笑う,あざわらう
N1,嘴,くちばし
N1,噛み切る,かみきる
N1,器,うつわ
N1,噴出,ふんしゅつ
N1,回収,かいしゅう
N1,回覧,かいらん
N1,回路,かいろ
N1,回送,かいそう
N1,団扇,うちわ
N1,団結,だんけつ
N1,固める,かためる
N1,固定,こてい
N1,固有,こゆう
N1,国交,こっこう
N1,国定,こくてい
N1,国有,こくゆう
N1,国産,こくさん
N1,国連,こくれん
N1,国防,こくぼう
N1,土俵,どひょう
N1,土台,どだい
N1,土手,どて
N1,土木,どぼく
N1,圧倒,あっとう
N1,圧力,あつりょく
N1,圧迫,あっぱく
N1,在庫,ざいこ
N1,地主,じぬし
N1,地元,じもと
N1,地形,ちけい
N1,地獄,じごく
N1,均衡,きんこう
N1,垂れる,たれる
N1,垢,あか
N1,埋める,うずめる
N1,埋め込む,うめこむ
N1,埋蔵,まいぞう
N1,城下,じょうか
N1,執着,しゅうじゃく
N1,執着,しゅうちゃく
N1,基金,ききん
N1,堂々,どうどう
N1,堤防,ていぼう
N1,堪える,たえる
N1,報じる,ほうじる
N1,報ずる,ほうずる
N1,報道,ほうどう
N1,報酬,ほうしゅう
N1,塵,ちり
N1,塵取り,ちりとり
N1,塾,じゅく
N1,境遇,きょうぐう
N1,墓地,ぼち
N1,増強,ぞうきょう
N1,増進,ぞうしん
N1,墜落,ついらく
N1,壮大,そうだい
N1,売り出し,うりだし
N1,売り出す,うりだす
N1,壷,つぼ
N1,変動,へんどう
N1,変遷,へんせん
N1,変革,へんかく
N1,夕暮れ,ゆうぐれ
N1,夕焼け,ゆうやけ
N1,外方,そっぽ
N1,外来,がいらい
N1,外相,がいしょう
N1,外観,がいかん
N1,外貨,がいか
N1,多忙,たぼう
N1,多数決,たすうけつ
N1,多様,たよう
N1,夜具,やぐ
N1,夜更け,よふけ
N1,夜更し,よふかし
N1,大便,だいべん
N1,大家,たいか
N1,大幅,おおはば
N1,大方,おおかた
N1,大柄,おおがら
N1,大概,たいがい
N1,大水,おおみず
N1,大空,おおぞら
N1,大筋,おおすじ
N1,大胆,だいたん
N1,大衆,たいしゅう
N1,大部,たいぶ
N1,大金,たいきん
N1,天,てん
N1,天下,てんか
N1,天体,てんたい
N1,天国,てんごく
N1,天地,てんち
N1,天才,てんさい
N1,天災,てんさい
N1,失格,しっかく
N1,失脚,しっきゃく
N1,失調,しっちょう
N1,奉る,たてまつる
N1,奉仕,ほうし
N1,奨励,しょうれい
N1,奮闘,ふんとう
N1,奴,やつ
N1,好ましい,このましい
N1,好意,こうい
N1,好況,こうきょう
N1,好評,こうひょう
N1,好調,こうちょう
N1,妊娠,にんしん
N1,妥協,だきょう
N1,妥結,だけつ
N1,妨害,ぼうがい
N1,妬む,ねたむ
N1,始末,しまつ
N1,始発,しはつ
N1,委託,いたく
N1,威力,いりょく
N1,婉曲,えんきょく
N1,婿,むこ
N1,嫉妬,しっと
N1,嫌々,いやいや
N1,子息,しそく
N1,存続,そんぞく
N1,孤児,こじ
N1,孤独,こどく
N1,孤立,こりつ
N1,学士,がくし
N1,学芸,がくげい
N1,学説,がくせつ
N1,守備,しゅび
N1,守衛,しゅえい
